Time,Device name设备名称,Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:50:11.309,WT901BLE68(d8:09:5a:ca:b6:e0), 0.904, 0.975, 0.896, 18.127, -19.348, 3.784, 129.485, -15.073, -95.537, -52.234, 37.436, 43.708, 30.14, 0.68747, 0.06097, -0.45593, -0.56186,
 14:50:11.341,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.335, 0.255, 0.127, -29.175, -23.438, 235.291, -20.099, -87.451, -171.475, 19.992, -29.596, -2.548, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:11.398,WT901BLE68(d8:09:5a:ca:b6:e0), 0.905, 0.938, 0.863, 7.874, -18.311, 5.859, 131.287, -16.815, -96.932, -52.234, 37.436, 43.708, 30.14, 0.68747, 0.06097, -0.45593, -0.56186,
 14:50:11.462,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.901, 0.598, 0.221, 47.485, -31.25, 161.682, -87.05, -71.472, -101.722, 19.992, -29.596, -2.548, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:11.519,WT901BLE68(d8:09:5a:ca:b6:e0), 0.926, 0.936, 0.839, -3.113, -25.574, 9.521, 132.314, -18.484, -98.553, -41.944, 39.396, 43.708, 30.14, 0.68747, 0.06097, -0.45593, -0.56186,
 14:50:11.553,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.97, 0.995, 0.022, 77.759, -0.122, 49.011, -82.337, -64.424, -97.976, 19.992, -29.596, -2.548, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:11.579,WT901BLE68(d8:09:5a:ca:b6:e0), 1.012, 0.899, 0.804, -11.719, -31.067, 13.977, 132.479, -20.967, -100.19, -41.944, 39.396, 43.708, 30.14, 0.68747, 0.06097, -0.45593, -0.56186,
 14:50:11.673,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.008, -0.52, 0.254, 41.199, 14.587, -92.834, -76.932, -70.142, -100.069, 19.992, -29.596, -2.548, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:11.698,WT901BLE68(d8:09:5a:ca:b6:e0), 1.081, 0.891, 0.76, 0.977, -49.255, 19.165, 133.66, -24.219, -102.843, -41.944, 39.396, 43.708, 30.14, 0.65424, 0.00787, -0.5296, -0.53973,
 14:50:11.761,WT901BLE68(cc:c4:7a:a1:fe:ea), 1, 0.001, 0.146, -11.414, 0.854, -79.529, -52.295, -80.975, -124.376, 19.992, -29.596, -2.548, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:11.789,WT901BLE68(d8:09:5a:ca:b6:e0), 1.207, 0.873, 0.779, -19.836, -85.938, 23.315, 136.939, -29.493, -108.715, -41.944, 39.396, 43.708, 30.14, 0.65424, 0.00787, -0.5296, -0.53973,
 14:50:11.883,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.006, -0.002, 0.116, -3.052, -14.648, -46.631, -22.89, -84.523, -154.946, -10.094, -45.864, 0.000, 31.38, 0.05817, 0.70859, 0.07074, 0.69958,
 14:50:11.908,WT901BLE68(d8:09:5a:ca:b6:e0), 0.404, 0.908, 0.592, -11.78, -156.372, 41.321, 148.458, -37.249, -124.678, -41.944, 39.396, 43.708, 30.14, 0.65424, 0.00787, -0.5296, -0.53973,
 14:50:11.944,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.957, 0.078, 0.058, -8.301, -13.184, -38.086, 32.305, -85.814, 149.106, -10.094, -45.864, 0.000, 31.38, 0.00183, 0.68378, 0.02039, 0.72931,
 14:50:11.998,WT901BLE68(d8:09:5a:ca:b6:e0), 0.37, 0.924, 0.653, 97.839, -106.201, -31.738, 174.573, -43.528, -153.55, -41.944, 39.396, 43.708, 30.14, 0.65424, 0.00787, -0.5296, -0.53973,
 14:50:12.092,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.979, 0.136, 0.047, 6.592, -9.705, -22.156, 65.462, -84.194, 115.345, -10.094, -45.864, 0.000, 31.38, 0.00183, 0.68378, 0.02039, 0.72931,
 14:50:12.119,WT901BLE68(d8:09:5a:ca:b6:e0), 0.926, 0.955, 1.158, 9.949, 120.667, -54.138, 164.899, -38.848, -138.049, -23.618, 41.944, 42.434, 30.14, 0.65424, 0.00787, -0.5296, -0.53973,
 14:50:12.153,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.984, 0.166, 0.017, 2.014, -5.31, -23.865, 78.904, -82.084, 102.338, -10.094, -45.864, 0.000, 31.38, 0.00183, 0.68378, 0.02039, 0.72931,
 14:50:12.198,WT901BLE68(d8:09:5a:ca:b6:e0), 1.355, 0.903, 0.705, 13.428, 215.271, -43.335, 140.878, -27.911, -108.622, -23.618, 41.944, 42.434, 30.14, 0.65424, 0.00787, -0.5296, -0.53973,
 14:50:12.273,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.983, 0.187, 0.011, -6.042, 6.348, -14.099, 80.48, -80.442, 100.333, -10.094, -45.864, 0.000, 31.38, 0.00183, 0.68378, 0.02039, 0.72931,
 14:50:12.300,WT901BLE68(d8:09:5a:ca:b6:e0), 1.193, 0.8, 0.675, 11.169, 196.411, -53.711, 130.232, -11.124, -88.204, -23.618, 41.944, 42.434, 30.14, 0.67255, 0.0535, -0.52298, -0.52075,
 14:50:12.363,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.98, 0.199, 0.059, 9.827, 8.606, -27.161, 78.536, -78.239, 102.448, -10.094, -45.864, 0.000, 31.38, 0.00183, 0.68378, 0.02039, 0.72931,
 14:50:12.396,WT901BLE68(d8:09:5a:ca:b6:e0), 0.805, 0.549, 0.302, 13.672, 120.422, -30.701, 125.81, 2.203, -79.596, -23.618, 41.944, 42.434, 30.14, 0.67255, 0.0535, -0.52298, -0.52075,
 14:50:12.483,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.983, 0.267, 0.061, 9.766, 2.991, -28.564, 79.673, -75.35, 102.513, 3.234, -46.550, 0.490, 31.38, 0.00183, 0.68378, 0.02039, 0.72931,
 14:50:12.509,WT901BLE68(d8:09:5a:ca:b6:e0), 1.014, 0.724, 0.292, -53.162, 15.625, -11.353, 122.756, 7.795, -75.454, -23.618, 41.944, 42.434, 30.14, 0.67255, 0.0535, -0.52298, -0.52075,
 14:50:12.571,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.069, 0.296, 0.086, 5.005, -2.075, -29.419, 81.65, -72.603, 101.107, 3.234, -46.550, 0.490, 31.38, 0.08618, 0.68097, 0.11929, 0.71729,
